date,party,lower_95_ev,lower_60_ev,median_ev,upper_60_ev,upper_95_ev
2020-03-01,democratic,144,209,285,356,423
2020-03-01,republican,115,182,253,329,394
2020-03-02,democratic,146,212,289,357,421
2020-03-02,republican,117,181,249,326,392
2020-03-03,democratic,144,212,288,357,423
2020-03-03,republican,115,181,250,326,394
2020-03-04,democratic,145,210,287,353,421
2020-03-04,republican,117,185,251,328,393
2020-03-05,democratic,148,213,289,357,421
2020-03-05,republican,117,181,249,325,390
2020-03-06,democratic,151,215,292,357,421
2020-03-06,republican,117,181,246,323,387
2020-03-07,democratic,150,215,292,357,421
2020-03-07,republican,117,181,246,323,388
2020-03-08,democratic,137,202,274,346,412
2020-03-08,republican,126,192,264,336,401
2020-03-09,democratic,138,202,274,346,415
2020-03-09,republican,123,192,264,336,400
2020-03-10,democratic,141,201,268,342,412
2020-03-10,republican,126,196,270,337,397
2020-03-11,democratic,139,197,263,339,412
2020-03-11,republican,126,199,275,341,399
2020-03-12,democratic,137,197,262,337,409
2020-03-12,republican,129,201,276,341,401
2020-03-13,democratic,139,200,266,339,409
2020-03-13,republican,129,199,272,338,399
2020-03-14,democratic,141,200,268,341,411
2020-03-14,republican,127,197,270,338,397
2020-03-15,democratic,141,201,269,342,412
2020-03-15,republican,126,196,269,337,397
2020-03-16,democratic,141,201,269,343,412
2020-03-16,republican,126,195,269,337,397
2020-03-17,democratic,145,203,273,347,415
2020-03-17,republican,123,191,265,335,393
2020-03-18,democratic,147,204,274,347,415
2020-03-18,republican,123,191,264,334,391
2020-03-19,democratic,146,204,274,347,413
2020-03-19,republican,125,191,264,334,392
2020-03-20,democratic,146,203,272,344,412
2020-03-20,republican,126,194,266,335,392
2020-03-21,democratic,146,203,273,346,412
2020-03-21,republican,126,192,265,335,392
2020-03-22,democratic,144,202,271,344,411
2020-03-22,republican,127,194,267,336,394
2020-03-23,democratic,146,203,272,343,410
2020-03-23,republican,128,195,266,335,392
2020-03-24,democratic,144,200,268,342,408
2020-03-24,republican,130,196,270,338,394
2020-03-25,democratic,143,200,266,340,408
2020-03-25,republican,130,198,272,338,395
2020-03-26,democratic,142,199,263,337,407
2020-03-26,republican,131,201,275,339,396
2020-03-27,democratic,144,200,263,338,406
2020-03-27,republican,132,200,275,338,394
2020-03-28,democratic,143,200,262,337,406
2020-03-28,republican,132,201,276,338,395
2020-03-29,democratic,143,199,263,338,407
2020-03-29,republican,131,200,275,339,395
2020-03-30,democratic,145,200,263,337,406
2020-03-30,republican,132,201,275,338,393
2020-03-31,democratic,147,202,264,338,406
2020-03-31,republican,132,200,274,336,391
2020-04-01,democratic,152,204,271,344,412
2020-04-01,republican,126,194,267,334,386
2020-04-02,democratic,154,208,274,346,412
2020-04-02,republican,126,192,264,330,384
2020-04-03,democratic,157,209,279,352,415
2020-04-03,republican,123,186,259,329,381
2020-04-04,democratic,156,209,278,350,415
2020-04-04,republican,123,188,260,329,382
2020-04-05,democratic,156,210,279,350,415
2020-04-05,republican,123,188,259,328,382
2020-04-06,democratic,157,213,282,352,415
2020-04-06,republican,123,186,256,325,381
2020-04-07,democratic,160,213,282,352,415
2020-04-07,republican,123,186,256,325,378
2020-04-08,democratic,158,212,281,352,415
2020-04-08,republican,123,186,257,326,380
2020-04-09,democratic,156,210,280,352,415
2020-04-09,republican,123,186,258,328,382
2020-04-10,democratic,156,211,280,351,412
2020-04-10,republican,126,187,258,327,382
2020-04-11,democratic,158,212,280,352,415
2020-04-11,republican,123,186,258,326,380
2020-04-12,democratic,157,211,281,352,415
2020-04-12,republican,123,186,257,327,381
2020-04-13,democratic,161,215,286,355,417
2020-04-13,republican,121,183,252,323,377
2020-04-14,democratic,162,216,287,355,418
2020-04-14,republican,120,183,251,322,376
2020-04-15,democratic,162,215,285,352,415
2020-04-15,republican,123,186,253,323,376
2020-04-16,democratic,166,220,292,357,418
2020-04-16,republican,120,181,246,318,372
2020-04-17,democratic,171,223,294,358,419
2020-04-17,republican,119,180,244,315,367
2020-04-18,democratic,168,220,291,357,416
2020-04-18,republican,122,181,247,318,370
2020-04-19,democratic,169,221,292,357,418
2020-04-19,republican,120,181,246,317,369
2020-04-20,democratic,168,221,291,357,418
2020-04-20,republican,120,181,247,317,370
2020-04-21,democratic,170,223,295,358,419
2020-04-21,republican,119,180,243,315,368
2020-04-22,democratic,175,228,302,361,421
2020-04-22,republican,117,177,236,310,363
2020-04-23,democratic,173,229,305,363,422
2020-04-23,republican,116,175,233,309,365
2020-04-24,democratic,174,230,306,364,422
2020-04-24,republican,116,174,232,308,364
2020-04-25,democratic,175,231,305,361,421
2020-04-25,republican,117,177,233,307,363
2020-04-26,democratic,175,231,305,361,421
2020-04-26,republican,117,177,233,307,363
2020-04-27,democratic,175,228,304,361,421
2020-04-27,republican,117,177,234,310,363
2020-04-28,democratic,175,229,303,359,418
2020-04-28,republican,120,179,235,309,363
2020-04-29,democratic,177,229,305,361,421
2020-04-29,republican,117,177,233,309,361
2020-04-30,democratic,175,229,305,361,420
2020-04-30,republican,118,177,233,309,363
2020-05-01,democratic,175,229,303,360,418
2020-05-01,republican,120,178,235,309,363
2020-05-02,democratic,180,238,313,368,424
2020-05-02,republican,114,170,225,300,358
2020-05-03,democratic,182,244,319,372,426
2020-05-03,republican,112,166,219,294,356
2020-05-04,democratic,186,252,324,375,429
2020-05-04,republican,109,163,214,286,352
2020-05-05,democratic,187,252,323,374,429
2020-05-05,republican,109,164,215,286,351
2020-05-06,democratic,186,247,319,374,426
2020-05-06,republican,112,164,219,291,352
2020-05-07,democratic,186,245,319,371,425
2020-05-07,republican,113,167,219,293,352
2020-05-08,democratic,187,247,319,371,424
2020-05-08,republican,114,167,219,291,351
2020-05-09,democratic,187,247,319,372,424
2020-05-09,republican,114,166,219,291,351
2020-05-10,democratic,187,246,319,372,425
2020-05-10,republican,113,166,219,292,351
2020-05-11,democratic,187,251,320,373,424
2020-05-11,republican,114,165,218,287,351
2020-05-12,democratic,187,248,319,372,425
2020-05-12,republican,113,166,219,290,351
2020-05-13,democratic,187,248,319,372,424
2020-05-13,republican,114,166,219,290,351
2020-05-14,democratic,187,247,319,372,424
2020-05-14,republican,114,166,219,291,351
2020-05-15,democratic,189,252,323,374,426
2020-05-15,republican,112,164,215,286,349
2020-05-16,democratic,189,252,322,374,424
2020-05-16,republican,114,164,216,286,349
2020-05-17,democratic,189,253,323,374,424
2020-05-17,republican,114,164,215,285,349
2020-05-18,democratic,190,254,323,374,424
2020-05-18,republican,114,164,215,284,348
2020-05-19,democratic,191,252,323,374,425
2020-05-19,republican,113,164,215,286,347
2020-05-20,democratic,189,250,321,374,424
2020-05-20,republican,114,164,217,288,349
2020-05-21,democratic,193,259,328,375,427
2020-05-21,republican,111,163,210,279,345
2020-05-22,democratic,191,256,324,374,427
2020-05-22,republican,111,164,214,282,347
2020-05-23,democratic,191,255,324,374,425
2020-05-23,republican,113,164,214,283,347
2020-05-24,democratic,191,255,324,374,427
2020-05-24,republican,111,164,214,283,347
2020-05-25,democratic,191,254,324,374,426
2020-05-25,republican,112,164,214,284,347
2020-05-26,democratic,193,255,325,374,427
2020-05-26,republican,111,164,213,283,345
2020-05-27,democratic,189,253,323,374,427
2020-05-27,republican,111,164,215,285,349
2020-05-28,democratic,191,253,323,374,425
2020-05-28,republican,113,164,215,285,347
2020-05-29,democratic,193,254,323,374,424
2020-05-29,republican,114,164,215,284,345
2020-05-30,democratic,192,256,324,374,427
2020-05-30,republican,111,164,214,282,346
2020-05-31,democratic,192,257,325,374,427
2020-05-31,republican,111,164,213,281,346
2020-06-01,democratic,195,263,332,377,431
2020-06-01,republican,107,161,206,275,343
2020-06-02,democratic,195,262,331,377,429
2020-06-02,republican,109,161,207,276,343
2020-06-03,democratic,195,261.8,330,377,430
2020-06-03,republican,108,161,208,276.2,343
2020-06-04,democratic,195,260,328,375,427
2020-06-04,republican,111,163,210,278,343
2020-06-05,democratic,195,260,328,376,427
2020-06-05,republican,111,162,210,278,343
2020-06-06,democratic,195,260,329,375,427
2020-06-06,republican,111,163,209,278,343
2020-06-07,democratic,197,266,334,379,430
2020-06-07,republican,108,159,204,272,341
2020-06-08,democratic,199,269,335,381,431
2020-06-08,republican,107,157,203,269,339
2020-06-09,democratic,200,274,339,384,435
2020-06-09,republican,103,154,199,264,338
2020-06-10,democratic,200,276,340,384,435
2020-06-10,republican,103,154,198,262,338
2020-06-11,democratic,204,281,343,386,437
2020-06-11,republican,101,152,195,257,334
2020-06-12,democratic,204,281,343,387,436
2020-06-12,republican,102,151,195,257,334
2020-06-13,democratic,204,279,342,385,435
2020-06-13,republican,103,153,196,259,334
2020-06-14,democratic,204,280,343,385,435
2020-06-14,republican,103,153,195,258,334
2020-06-15,democratic,206,283,345,388,437
2020-06-15,republican,101,150,193,255,332
2020-06-16,democratic,208,288,347,388,435
2020-06-16,republican,103,150,191,250,330
2020-06-17,democratic,209,289,349,390,436
2020-06-17,republican,102,148,189,249,329
2020-06-18,democratic,208,286,346,389,435
2020-06-18,republican,103,149,192,252,330
2020-06-19,democratic,206,286,346,388,435
2020-06-19,republican,103,150,192,252,332
2020-06-20,democratic,209,288,348,389,435
2020-06-20,republican,103,149,190,250,329
2020-06-21,democratic,209,289,347,390,435
2020-06-21,republican,103,148,191,249,329
2020-06-22,democratic,206,282,343,388,435
2020-06-22,republican,103,150,195,256,332
2020-06-23,democratic,206,281,343,385,433
2020-06-23,republican,105,153,195,257,332
2020-06-24,democratic,206,279,341,384,432
2020-06-24,republican,106,154,197,259,332
2020-06-25,democratic,208,285,343,387,434
2020-06-25,republican,104,151,195,253,330
2020-06-26,democratic,208,284,343,385,432
2020-06-26,republican,106,153,195,254,330
2020-06-27,democratic,209,286,343,385,434
2020-06-27,republican,104,153,195,252,329
2020-06-28,democratic,204,282,341,383,431
2020-06-28,republican,107,155,197,256,334
2020-06-29,democratic,208,284,343,385,434
2020-06-29,republican,104,153,195,254,330
2020-06-30,democratic,208,284,343,386,435
2020-06-30,republican,103,152,195,254,330
2020-07-01,democratic,210,288,347,389,435
2020-07-01,republican,103,149,191,250,328
2020-07-02,democratic,209,284,343,388,434
2020-07-02,republican,104,150,195,254,329
2020-07-03,democratic,208,283,342.5,386,434
2020-07-03,republican,104,152,195.5,255,330
2020-07-04,democratic,206,279,341,383,432
2020-07-04,republican,106,155,197,259,332
2020-07-05,democratic,206,281,341,383,432
2020-07-05,republican,106,155,197,257,332
2020-07-06,democratic,206,280,341,383,431
2020-07-06,republican,107,155,197,258,332
2020-07-07,democratic,205,279,341,384,433.025
2020-07-07,republican,104.975,154,197,259,333
2020-07-08,democratic,206,278,339,383,431
2020-07-08,republican,107,155,199,260,332
2020-07-09,democratic,206,279,339,383,430
2020-07-09,republican,108,155,199,259,332
2020-07-10,democratic,209,285,343,386,433.025
2020-07-10,republican,104.975,152,195,253,329
2020-07-11,democratic,209,287,344,386,434
2020-07-11,republican,104,152,194,251,329
2020-07-12,democratic,209,286,344,388,434
2020-07-12,republican,104,150,194,252,329
2020-07-13,democratic,209,283,342,386,432
2020-07-13,republican,106,152,196,255,329
2020-07-14,democratic,213,293,350,390,436
2020-07-14,republican,102,148,188,245,325
2020-07-15,democratic,215,298,352,393,436
2020-07-15,republican,102,145,186,240,323
2020-07-16,democratic,215,298,352,393,437
2020-07-16,republican,101,145,186,240,323
2020-07-17,democratic,215,299,352,393,436
2020-07-17,republican,102,145,186,239,323
2020-07-18,democratic,215,297,352,393,437
2020-07-18,republican,101,145,186,241,323
2020-07-19,democratic,215,295,351,391,435
2020-07-19,republican,103,147,187,243,323
2020-07-20,democratic,213,293,347,388,432
2020-07-20,republican,106,150,191,245,325
2020-07-21,democratic,213,293,347,388,434
2020-07-21,republican,104,150,191,245,325
2020-07-22,democratic,210,289,344,385,431
2020-07-22,republican,107,153,194,249,328
2020-07-23,democratic,214,295,347,388,432
2020-07-23,republican,106,150,191,243,324
2020-07-24,democratic,214,294,346,386,431
2020-07-24,republican,107,152,192,244,324
2020-07-25,democratic,210,289,343,384,430
2020-07-25,republican,108,154,195,249,328
2020-07-26,democratic,213,289,343,383,429
2020-07-26,republican,109,155,195,249,325
2020-07-27,democratic,210,288,341,383,428
2020-07-27,republican,110,155,197,250,328
2020-07-28,democratic,212,289,343,386,429.025
2020-07-28,republican,108.975,152,195,249,326
2020-07-29,democratic,211.975,288,342,384,427
2020-07-29,republican,111,154,196,250,326.025
2020-07-30,democratic,211,290,343,384,429
2020-07-30,republican,109,154,195,248,327
2020-07-31,democratic,213,290,343,385,429
2020-07-31,republican,109,153,195,248,325
2020-08-01,democratic,210,289,343,384,427
2020-08-01,republican,111,154,195,249,328
2020-08-02,democratic,213,292,346,388,429
2020-08-02,republican,109,150,192,246,325
2020-08-03,democratic,210,289,343,384,427
2020-08-03,republican,111,154,195,249,328
2020-08-04,democratic,212,288,343,386,427
2020-08-04,republican,111,152,195,250,326
2020-08-05,democratic,213,290,343,386,427
2020-08-05,republican,111,152,195,248,325
2020-08-06,democratic,213,293,347,388,429
2020-08-06,republican,109,150,191,245,325
2020-08-07,democratic,215,295,347,387,428
2020-08-07,republican,110,151,191,243,323
2020-08-08,democratic,214,294,347,388,429
2020-08-08,republican,109,150,191,244,324
2020-08-09,democratic,214,292,344,386,427
2020-08-09,republican,111,152,194,246,324
2020-08-10,democratic,213,290,342,383,427
2020-08-10,republican,111,155,196,248,325
2020-08-11,democratic,212,288,340,383,426
2020-08-11,republican,112,155,198,250,326
2020-08-12,democratic,213,290,342,383,425
2020-08-12,republican,113,155,196,248,325
2020-08-13,democratic,212,288,340,381,424
2020-08-13,republican,114,157,198,250,326
2020-08-14,democratic,213,290,342,383,425
2020-08-14,republican,113,155,196,248,325
2020-08-15,democratic,213,289,341,383,424
2020-08-15,republican,114,155,197,249,325
2020-08-16,democratic,210,285,339,377,422
2020-08-16,republican,116,161,199,253,328
2020-08-17,democratic,209,282,335,374,421
2020-08-17,republican,117,164,203,256,329
2020-08-18,democratic,209,281,335,374,421
2020-08-18,republican,117,164,203,257,329
2020-08-19,democratic,210,286,337,374,421
2020-08-19,republican,117,164,201,252,328
2020-08-20,democratic,209,284,337,377,421
2020-08-20,republican,117,161,201,254,329
2020-08-21,democratic,213,288,339,377,421
2020-08-21,republican,117,161,199,250,325
2020-08-22,democratic,213,289,339,378,422
2020-08-22,republican,116,160,199,249,325
2020-08-23,democratic,213,290,340,378,422
2020-08-23,republican,116,160,198,248,325
2020-08-24,democratic,218,298,347,384,424
2020-08-24,republican,114,154,191,240,320
2020-08-25,democratic,215,294,345,383,424
2020-08-25,republican,114,155,193,244,323
2020-08-26,democratic,222.975,302,350,388,429
2020-08-26,republican,109,150,188,236,315.025
2020-08-27,democratic,215,290,342,381,424
2020-08-27,republican,114,157,196,248,323
2020-08-28,democratic,213,290,341,381,424
2020-08-28,republican,114,157,197,248,325
2020-08-29,democratic,211,284,337,377,421
2020-08-29,republican,117,161,201,254,327
2020-08-30,democratic,212,282,337,375,421
2020-08-30,republican,117,163,201,256,326
2020-08-31,democratic,210,284,337,377,421
2020-08-31,republican,117,161,201,254,328
2020-09-01,democratic,208,279,333,374,421
2020-09-01,republican,117,164,205,259,330
2020-09-02,democratic,209,281,335,375,421
2020-09-02,republican,117,163,203,257,329
2020-09-03,democratic,209,279,334,374,421
2020-09-03,republican,117,164,204,259,329
2020-09-04,democratic,209,276,334,374,420
2020-09-04,republican,118,164,204,262,329
2020-09-05,democratic,209,277,334,374,421
2020-09-05,republican,117,164,204,261,329
2020-09-06,democratic,209,279,334,374,421
2020-09-06,republican,117,164,204,259,329
2020-09-07,democratic,209,279,334,374,421
2020-09-07,republican,117,164,204,259,329
2020-09-08,democratic,209,278,333,374,421
2020-09-08,republican,117,164,205,260,329
2020-09-09,democratic,210,284,335,375.2,421
2020-09-09,republican,117,162.8,203,254,328
2020-09-10,democratic,209,280,334,374,421
2020-09-10,republican,117,164,204,258,329
2020-09-11,democratic,209,279,334,374,418
2020-09-11,republican,120,164,204,259,329
2020-09-12,democratic,206,278,333,374,421
2020-09-12,republican,117,164,205,260,332
2020-09-13,democratic,209,279,333,374,421
2020-09-13,republican,117,164,205,259,329
2020-09-14,democratic,209,279,334,374,421
2020-09-14,republican,117,164,204,259,329
2020-09-15,democratic,209,279,334,374,418.05
2020-09-15,republican,119.95,164,204,259,329
2020-09-16,democratic,213,288,335,374,421
2020-09-16,republican,117,164,203,250,325
2020-09-17,democratic,213,286,335,374,421
2020-09-17,republican,117,164,203,252,325
2020-09-18,democratic,216,288,336,375,421
2020-09-18,republican,117,163,202,250,322
2020-09-19,democratic,213,285,334,374,418
2020-09-19,republican,120,164,204,253,325
2020-09-20,democratic,215,287,335,374,420
2020-09-20,republican,118,164,203,251,323
2020-09-21,democratic,213,283,334,374,415.025
2020-09-21,republican,122.975,164,204,255,325
2020-09-22,democratic,213,281,334,374,416
2020-09-22,republican,122,164,204,257,325
2020-09-23,democratic,213,280,334,374,418
2020-09-23,republican,120,164,204,258,325
2020-09-24,democratic,213,279,330,372,415
2020-09-24,republican,123,166,208,259,325
2020-09-25,democratic,213,281,333,374,415
2020-09-25,republican,123,164,205,257,325
2020-09-26,democratic,213,280,334,374,415
2020-09-26,republican,123,164,204,258,325
2020-09-27,democratic,213,279,331,373,415
2020-09-27,republican,123,165,207,259,325
2020-09-28,democratic,213,281,332,374,415
2020-09-28,republican,123,164,206,257,325
2020-09-29,democratic,216,288,334,374,415
2020-09-29,republican,123,164,204,250,322
2020-09-30,democratic,219,290,337,374,418
2020-09-30,republican,120,164,201,248,319
2020-10-01,democratic,222,292,339,374,421
2020-10-01,republican,117,164,199,246,316
2020-10-02,democratic,216,288,335,374,415
2020-10-02,republican,123,164,203,250,322
2020-10-03,democratic,215,288,335,374,415
2020-10-03,republican,123,164,203,250,323
2020-10-04,democratic,220,290,339,374,421
2020-10-04,republican,117,164,199,248,318
2020-10-05,democratic,222,294,341,375,421
2020-10-05,republican,117,163,197,244,316
2020-10-06,democratic,223,295,341,377,421
2020-10-06,republican,117,161,197,243,315
2020-10-07,democratic,224,302,346,380,421.025
2020-10-07,republican,116.975,158,192,236,314
2020-10-08,democratic,229,307,350,387,424
2020-10-08,republican,114,151,188,231,309
2020-10-09,democratic,229,304,350,384,424
2020-10-09,republican,114,154,188,234,309
2020-10-10,democratic,229,304,350,383,424
2020-10-10,republican,114,155,188,234,309
2020-10-11,democratic,227,303,347,383,422
2020-10-11,republican,116,155,191,235,311
2020-10-12,democratic,227,300,345,383,422
2020-10-12,republican,116,155,193,238,311
2020-10-13,democratic,227,302,343,377,421
2020-10-13,republican,117,161,195,236,311
2020-10-14,democratic,227,302,345,378,418
2020-10-14,republican,120,160,193,236,311
2020-10-15,democratic,227,302,343,378,415
2020-10-15,republican,123,160,195,236,311
2020-10-16,democratic,227,302,343,378,415
2020-10-16,republican,123,160,195,236,311
2020-10-17,democratic,226,300,341,377,415
2020-10-17,republican,123,161,197,238,312
2020-10-18,democratic,225,299,340,377,415
2020-10-18,republican,123,161,198,239,313
2020-10-19,democratic,230,304,345,378,418
2020-10-19,republican,120,160,193,234,308
2020-10-20,democratic,235,308,350,387,421
2020-10-20,republican,117,151,188,230,303
2020-10-21,democratic,233,306,347,380,418
2020-10-21,republican,120,158,191,232,305
2020-10-22,democratic,229.975,304,343,378,415
2020-10-22,republican,123,160,195,234,308.025
2020-10-23,democratic,230,304,341,377,415
2020-10-23,republican,123,161,197,234,308
2020-10-24,democratic,231.975,304,343,378,415
2020-10-24,republican,123,160,195,234,306.025
2020-10-25,democratic,243,310,350,384,421
2020-10-25,republican,117,154,188,228,295
2020-10-26,democratic,250,314,352,383,421
2020-10-26,republican,117,155,186,224,288
2020-10-27,democratic,253,315,356,383,421
2020-10-27,republican,117,155,182,223,285
2020-10-28,democratic,254,317,356,383,418
2020-10-28,republican,120,155,182,221,284
2020-10-29,democratic,253,310,350,377,415
2020-10-29,republican,123,161,188,228,285
